ID,Predicted Value
1,Twain
2,Alcott
3,Twain
4,Collins
5,Doyle
6,Alcott
7,Collins
8,Alcott
9,Collins
10,Alcott
11,Alcott
12,Alcott
13,Alcott
14,Alcott
15,Twain
16,Twain
17,Alcott
18,Twain
19,Collins
20,Alcott
21,Alcott
22,Collins
23,Alcott
24,Alcott
25,Twain
26,Doyle
27,Alcott
28,Alcott
29,Alcott
30,Alcott
31,Twain
32,Doyle
33,Alcott
34,Twain
35,Twain
36,Doyle
37,Doyle
38,Twain
39,Alcott
40,Alcott
41,Alcott
42,Alcott
43,Alcott
44,Doyle
45,Collins
46,Alcott
47,Alcott
48,Alcott
49,Collins
50,Doyle
51,Twain
52,Alcott
53,Alcott
54,Doyle
55,Collins
56,Doyle
57,Alcott
58,Collins
59,Alcott
60,Collins
61,Twain
62,Alcott
63,Collins
64,Alcott
65,Alcott
66,Twain
67,Alcott
68,Twain
69,Alcott
70,Alcott
71,Alcott
72,Alcott
73,Collins
74,Alcott
75,Twain
76,Doyle
77,Doyle
78,Alcott
79,Alcott
80,Doyle
81,Alcott
82,Doyle
83,Twain
84,Alcott
85,Alcott
86,Doyle
87,Alcott
88,Alcott
89,Doyle
90,Collins
91,Alcott
92,Alcott
93,Twain
94,Collins
95,Alcott
96,Twain
97,Alcott
98,Alcott
99,Doyle
100,Alcott
101,Doyle
102,Alcott
103,Doyle
104,Twain
105,Alcott
106,Alcott
107,Collins
108,Alcott
109,Alcott
110,Alcott
111,Alcott
112,Bronte
113,Alcott
114,Alcott
115,Twain
116,Alcott
117,Alcott
118,Doyle
119,Alcott
120,Alcott
121,Alcott
122,Alcott
123,Collins
124,Alcott
125,Doyle
126,Alcott
127,Alcott
128,Doyle
129,Alcott
130,Doyle
131,Alcott
132,Alcott
133,Alcott
134,Alcott
135,Collins
136,Alcott
137,Alcott
138,Alcott
139,Alcott
140,Collins
141,Doyle
142,Twain
143,Alcott
144,Alcott
145,Doyle
146,Doyle
147,Alcott
148,Doyle
149,Alcott
150,Twain
151,Alcott
152,Alcott
153,Collins
154,Alcott
155,Twain
156,Alcott
157,Twain
158,Alcott
159,Collins
160,Doyle
161,Twain
162,Alcott
163,Alcott
164,Alcott
165,Alcott
166,Twain
167,Alcott
168,Twain
169,Doyle
170,Collins
171,Collins
172,Alcott
173,Twain
174,Doyle
175,Alcott
176,Alcott
177,Doyle
178,Twain
179,Alcott
180,Alcott
181,Collins
182,Twain
183,Alcott
184,Alcott
185,Alcott
186,Alcott
187,Alcott
188,Alcott
189,Doyle
190,Collins
191,Twain
192,Alcott
193,Twain
194,Alcott
195,Twain
196,Alcott
197,Alcott
198,Alcott
199,Twain
200,Bronte
201,Collins
202,Doyle
203,Alcott
204,Alcott
205,Alcott
206,Alcott
207,Bronte
208,Alcott
209,Doyle
210,Alcott
211,Collins
212,Alcott
213,Alcott
214,Twain
215,Twain
216,Alcott
217,Twain
218,Alcott
219,Alcott
220,Twain
221,Twain
222,Twain
223,Alcott
224,Twain
225,Doyle
226,Twain
227,Alcott
228,Twain
229,Twain
230,Doyle
231,Alcott
232,Alcott
233,Alcott
234,Alcott
235,Doyle
236,Alcott
237,Twain
238,Alcott
239,Doyle
240,Alcott
241,Bronte
242,Doyle
243,Doyle
244,Alcott
245,Alcott
246,Bronte
247,Alcott
248,Doyle
249,Alcott
250,Alcott
251,Alcott
252,Collins
253,Doyle
254,Alcott
255,Alcott
256,Collins
257,Alcott
